排名,电影名称,上映时间,工作人员,评分,评论人数,描述
1,肖申克的救赎,1994 / 美国 / 犯罪 剧情,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,9.7,1708934,希望让人自由。
2,霸王别姬,1993 / 中国大陆 中国香港 / 剧情 爱情 同性,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,9.6,1263519,风华绝代。
3,阿甘正传,1994 / 美国 / 剧情 爱情,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,9.5,1320235,一部美国近现代史。
4,这个杀手不太冷,1994 / 法国 / 剧情 动作 犯罪,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,9.4,1513875,怪蜀黍和小萝莉不得不说的故事。
5,美丽人生,1997 / 意大利 / 剧情 喜剧 爱情 战争,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,9.5,771270,最美的谎言。
6,泰坦尼克号,1997 / 美国 / 剧情 爱情 灾难,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,9.4,1256679,失去的才是永恒的。 
7,千与千寻,2001 / 日本 / 剧情 动画 奇幻,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,9.3,1345962,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,1993 / 美国 / 剧情 历史 战争,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,9.5,679880,拯救一个人，就是拯救整个世界。
9,盗梦空间,2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,9.3,1287630,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,2009 / 美国 英国 / 剧情,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,9.3,872481,永远都不能忘记你所爱的人。
11,海上钢琴师,1998 / 意大利 / 剧情 音乐,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,9.3,1044532,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
12,机器人总动员,2008 / 美国 / 科幻 动画 冒险,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,9.3,852810,小瓦力，大人生。
13,三傻大闹宝莱坞,2009 / 印度 / 剧情 喜剧 爱情 歌舞,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,9.2,1167743,英俊版憨豆，高情商版谢耳朵。
14,楚门的世界,1998 / 美国 / 剧情 科幻,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,9.3,918258,如果再也不能见到你，祝你早安，午安，晚安。
15,放牛班的春天,2004 / 法国 瑞士 德国 / 剧情 音乐,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 热拉尔·朱尼奥 Gé...,9.3,817447,天籁一般的童声，是最接近上帝的存在。 
16,星际穿越,2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,9.3,934190,爱是一种力量，让我们超越时空感知它的存在。
17,大话西游之大圣娶亲,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.2,915241,一生所爱。
18,龙猫,1988 / 日本 / 动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,9.2,794564,人人心中都有个龙猫，童年就永远不会消失。
19,熔炉,2011 / 韩国 / 剧情,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,9.3,550110,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
20,无间道,2002 / 中国香港 / 剧情 犯罪 悬疑,导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生,9.2,751264,香港电影史上永不过时的杰作。
21,教父,1972 / 美国 / 剧情 犯罪,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,9.3,581093,千万不要记恨你的对手，这样会让你失去理智。
22,疯狂动物城,2016 / 美国 / 喜剧 动画 冒险,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,9.2,1068425,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
23,当幸福来敲门,2006 / 美国 / 剧情 传记 家庭,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,9.1,946380,平民励志片。 
24,怦然心动,2010 / 美国 / 剧情 喜剧 爱情,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,9.0,1069267,真正的幸福是来自内心深处。
25,触不可及,2011 / 法国 / 剧情 喜剧,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,9.2,618864,满满温情的高雅喜剧。
26,蝙蝠侠：黑暗骑士,2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,9.2,628874,无尽的黑暗。
27,活着,1994 / 中国大陆 中国香港 / 剧情 历史 家庭,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,9.2,487143,张艺谋最好的电影。
28,控方证人,1957 / 美国 / 剧情 犯罪 悬疑,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,9.6,225959,比利·怀德满分作品。
29,乱世佳人,1939 / 美国 / 剧情 历史 爱情 战争,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...,9.3,421842,Tomorrow is another day.
30,少年派的奇幻漂流,2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,9.0,914099,瑰丽壮观、无人能及的冒险之旅。
31,摔跤吧！爸爸,2016 / 印度 / 剧情 传记 运动 家庭,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,9.0,938155,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
32,指环王3：王者无敌,2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...,9.2,463085,史诗的终章。
33,飞屋环游记,2009 / 美国 / 剧情 喜剧 动画 冒险,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,9.0,836229,最后那些最无聊的事情，才是最值得怀念的。 
34,鬼子来了,2000 / 中国大陆 / 剧情 历史 战争,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,9.2,391598,对敌人的仁慈，就是对自己残忍。
35,十二怒汉,1957 / 美国 / 剧情,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,9.4,279176,1957年的理想主义。 
36,天空之城,1986 / 日本 / 动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,9.1,538785,对天空的追逐，永不停止。 
37,寻梦环游记,2017 / 美国 / 喜剧 动画 奇幻 音乐,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...,9.1,893782,死亡不是真的逝去，遗忘才是永恒的消亡。
38,天堂电影院,1988 / 意大利 法国 / 剧情 爱情,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东内拉·阿蒂利 Anton...,9.2,438172,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
39,末代皇帝,1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,9.2,404986,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
40,大话西游之月光宝盒,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.0,738907,旷古烁今。
41,哈尔的移动城堡,2004 / 日本 / 动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,9.0,610675,带着心爱的人在天空飞翔。
42,罗马假日,1953 / 美国 / 喜剧 剧情 爱情,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,9.0,618122,爱情哪怕只有一天。
43,搏击俱乐部,1999 / 美国 德国 / 剧情 动作 悬疑 惊悚,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,9.0,575208,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
44,闻香识女人,1992 / 美国 / 剧情,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,9.0,532499,史上最美的探戈。
45,素媛,2013 / 韩国 / 剧情,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,9.2,361768,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
46,辩护人,2013 / 韩国 / 剧情,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,9.2,370701,电影的现实意义大过电影本身。
47,何以为家,2018 / 黎巴嫩 法国 美国 / 剧情,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...,9.1,447061,凝视卑弱生命，用电影改变命运。
48,窃听风暴,2006 / 德国 / 剧情 悬疑,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,9.1,363250,别样人生。
49,死亡诗社,1989 / 美国 / 剧情,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,9.1,442503,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
50,教父2,1974 / 美国 / 剧情 犯罪,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,9.2,317088,优雅的孤独。
51,两杆大烟枪,1998 / 英国 / 剧情 喜剧 犯罪,导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,9.1,389369,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
52,指环王2：双塔奇兵,2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.1,428753,承前启后的史诗篇章。
53,飞越疯人院,1975 / 美国 / 剧情,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,9.1,393767,自由万岁。
54,狮子王,1994 / 美国 / 动画 冒险 歌舞,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,9.0,479715,动物版《哈姆雷特》。
55,指环王1：魔戒再现,2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.0,481934,传说的开始。
56,V字仇杀队,2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚,导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...,8.9,680347,一张面具背后的理想与革命。
57,美丽心灵,2001 / 美国 / 传记 剧情,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,9.0,474984,爱是一切逻辑和原由。
58,饮食男女,1994 / 中国台湾 美国 / 剧情 家庭,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,9.1,342507,人生不能像做菜，把所有的料都准备好了才下锅。
59,大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...,9.3,215072,经典之作，历久弥新。
60,哈利·波特与魔法石,2001 / 美国 英国 / 奇幻 冒险,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,8.9,520513,童话世界的开端。
61,钢琴家,2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,9.1,316464,音乐能化解仇恨。
62,海豚湾,2009 / 美国 / 纪录片,导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...,9.3,259670,海豚的微笑，是世界上最高明的伪装。
63,本杰明·巴顿奇事,2008 / 美国 / 剧情 爱情 奇幻,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,8.9,621502,在时间之河里感受溺水之苦。
64,黑客帝国,1999 / 美国 澳大利亚 / 动作 科幻,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,9.0,473578,视觉革命。
65,情书,1995 / 日本 / 剧情 爱情,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,8.9,579014,暗恋的极致。
66,看不见的客人,2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,8.8,697759,你以为你以为的就是你以为的。
67,让子弹飞,2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,8.8,1010444,你给我翻译翻译，神马叫做TMD的惊喜。
68,西西里的美丽传说,2000 / 意大利 美国 / 剧情 战争 情色,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,8.8,601766,美丽无罪。
69,猫鼠游戏,2002 / 美国 加拿大 / 传记 犯罪 剧情,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,8.9,457553,骗子大师和执著警探的你追我跑故事。 
70,小鞋子,1997 / 伊朗 / 剧情 儿童 家庭,导演: 马基德·马基迪 Majid Majidi   主演: 法拉赫阿米尔·哈什米安 Amir Fa...,9.2,239929,奔跑的孩子是天使。
71,拯救大兵瑞恩,1998 / 美国 / 剧情 历史 战争,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,9.0,399542,美利坚精神输出大片No1.
72,美国往事,1984 / 美国 意大利 / 犯罪 剧情,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,9.2,266605,往事如烟，无处祭奠。
73,我不是药神,2018 / 中国大陆 / 剧情 喜剧,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,9.0,1290925,对我们国家而言，这样的电影多一部是一部。
74,音乐之声,1965 / 美国 / 剧情 传记 爱情 歌舞,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...,9.0,369371,用音乐化解仇恨，让歌声串起美好。
75,致命魔术,2006 / 美国 英国 / 剧情 悬疑 惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...,8.8,532009,孪生蝙蝠侠大战克隆金刚狼。
76,七宗罪,1995 / 美国 / 剧情 犯罪 悬疑 惊悚,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,8.8,629346,警察抓小偷，老鼠玩死猫。
77,低俗小说,1994 / 美国 / 剧情 喜剧 犯罪,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...,8.8,532171,故事的高级讲法。
78,穿条纹睡衣的男孩,2008 / 英国 美国 / 剧情 战争,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...,9.1,289846,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
79,被嫌弃的松子的一生,2006 / 日本 / 剧情 歌舞,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,8.9,477192,以戏谑来戏谑戏谑。
80,沉默的羔羊,1991 / 美国 / 剧情 犯罪 惊悚,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...,8.8,530680,安东尼·霍普金斯的顶级表演。
81,蝴蝶效应,2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,8.8,584972,人的命运被自己瞬间的抉择改变。
82,春光乍泄,1997 / 中国香港 日本 韩国 / 剧情 爱情 同性,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,8.9,395402,爱情纠缠，男女一致。
83,心灵捕手,1997 / 美国 / 剧情,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,8.9,433081,人生中应该拥有这样的一段豁然开朗。
