排名,电影名称,上映时间,工作人员,评分,评论人数,描述
167,雨人,1988 / 美国 / 剧情,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...,8.7,281423,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
168,卢旺达饭店,2004 / 英国 南非 意大利 / 剧情 历史 战争,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,8.9,174116,当这个世界闭上双眼，他却敞开了怀抱。
169,头脑特工队,2015 / 美国 / 喜剧 动画 冒险,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,8.7,365327,愿我们都不用长大，每一座城堡都能永远存在。
170,天书奇谭,1983(中国大陆) / 2019(中国大陆重映) / 中国大陆 / 动画 奇幻,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian   主演: 丁建华 Jianhua Din...,9.2,107962,传奇的年代，醉人的童话。
171,头号玩家,2018 / 美国 / 动作 科幻 冒险,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...,8.7,892732,写给影迷，动漫迷和游戏迷的一封情书。
172,你看起来好像很好吃,2010 / 日本 / 剧情 动画 儿童,导演: 藤森雅也 Masaya Fujimori   主演: 山口胜平 Kappei Yamaguchi / 爱河...,8.8,216282,感情不分食草或者食肉。
173,海边的曼彻斯特,2016 / 美国 / 剧情 家庭,导演: 肯尼斯·罗纳根 Kenneth Lonergan   主演: 卡西·阿弗莱克 Casey Affle...,8.6,314206,我们都有权利不与自己的过去和解。
174,无敌破坏王,2012 / 美国 / 喜剧 动画 奇幻 冒险,导演: 瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly / 萨拉...,8.7,330245,迪士尼和皮克斯拿错剧本的产物。
175,恋恋笔记本,2004 / 美国 / 剧情 爱情,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...,8.5,409612,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
176,冰川时代,2002 / 美国 / 喜剧 动画 冒险,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,8.5,404528,松鼠才是角儿。
177,未麻的部屋,1997 / 日本 / 动画 奇幻 惊悚,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,8.9,161574,好的剧本是，就算你猜到了结局也猜不到全部。
178,功夫,2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻,导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,8.5,528044,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
179,模仿游戏,2014 / 英国 美国 / 剧情 传记 战争 同性,导演: 莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...,8.6,379376,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
180,忠犬八公物语,1987 / 日本 / 剧情,导演: Seijirô Kôyama   主演: 山本圭 Kei Yamamoto / 井川比佐志 Hisa...,9.1,107974,养狗三日，便会对你终其一生。
181,一个叫欧维的男人决定去死,2015 / 瑞典 / 剧情,导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...,8.8,216181,惠及一生的美丽。
182,二十二,2015 / 中国大陆 / 纪录片,导演: 郭柯 Ke Guo   主演:,8.7,184365,有一些东西不应该被遗忘。
183,虎口脱险,1966 / 法国 英国 / 喜剧 战争,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...,8.9,149260,永远看不腻的喜剧。
184,雨中曲,1952 / 美国 / 喜剧 歌舞 爱情,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   主演: 吉恩·...,9.0,132764,骨灰级歌舞片。
185,黑客帝国3：矩阵革命,2003 / 美国 澳大利亚 / 动作 科幻,导演: Andy Wachowski / Larry Wachowski   主演: 基努·里维斯 Keanu Reeves...,8.7,247709,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
186,海洋,2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...,9.1,120571,大海啊，不全是水。
187,人工智能,2001 / 美国 / 冒险 剧情 科幻,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley...,8.6,275251,对爱的执着，可以超越一切。
188,海街日记,2015 / 日本 / 剧情 家庭,导演: 是枝裕和 Hirokazu Koreeda   主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,8.7,234341,是枝裕和的家庭习作。
189,房间,2015 / 爱尔兰 加拿大 英国 美国 / 剧情 家庭,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson   主演: 布丽·拉尔森 Brie Larson...,8.8,246617,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
190,魔女宅急便,1989 / 日本 / 动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 高山南 Minami Takayama / 佐久间玲 Re...,8.6,298350,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
191,燃情岁月,1994 / 美国 / 剧情 爱情 战争 西部,导演: 爱德华·兹威克 Edward Zwick   主演: 布拉德·皮特 Brad Pitt / 安东...,8.8,194895,传奇，不是每个人都可以拥有。
192,恐怖游轮,2009 / 英国 澳大利亚 / 剧情 悬疑 惊悚,导演: 克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...,8.4,492254,不要企图在重复中寻找已经失去的爱。
193,惊魂记,1960 / 美国 / 悬疑 惊悚 恐怖,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock   主演: 安东尼·博金斯 Antho...,8.9,139520,故事的反转与反转，分裂电影的始祖。
194,穿越时空的少女,2006 / 日本 / 剧情 爱情 科幻 动画,导演: 细田守 Mamoru Hosoda   主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...,8.6,266610,爱上未来的你。 
195,罗生门,1950 / 日本 / 犯罪 剧情 悬疑,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 千秋实 ...,8.8,190984,人生的N种可能性。
196,魂断蓝桥,1940 / 美国 / 剧情 爱情 战争,导演: 茂文·勒鲁瓦 Mervyn LeRoy   主演: 费雯·丽 Vivien Leigh / 罗伯特·...,8.8,173921,中国式内在的美国电影。
197,釜山行,2016 / 韩国 / 动作 惊悚 灾难,导演: 延尚昊 Sang-ho Yeon   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,8.4,632282,揭露人性的丧尸题材力作。
198,完美陌生人,2016 / 意大利 / 剧情 喜剧,导演: 保罗·格诺维瑟 Paolo Genovese   主演: 马可·贾利尼 Marco Giallini ...,8.5,354371,来啊，互相伤害啊！
199,猜火车,1996 / 英国 / 剧情 犯罪,导演: 丹尼·博伊尔 Danny Boyle   主演: 伊万·麦克格雷格 Ewan McGregor / ...,8.5,317971,不可猜的青春迷笛。 
200,奇迹男孩,2017 / 美国 中国香港 / 剧情 儿童 家庭,导演: 斯蒂芬·卓博斯基 Stephen Chbosky   主演: 雅各布·特伦布莱 Jacob Tr...,8.6,353980,世界不完美，爱会有奇迹。
201,疯狂的石头,2006 / 中国大陆 中国香港 / 喜剧 犯罪,导演: 宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,8.4,489441,中国版《两杆大烟枪》。
202,终结者2：审判日,1991 / 美国 法国 / 动作 科幻,导演: 詹姆斯·卡梅隆 James Cameron   主演: 阿诺·施瓦辛格 Arnold Schwarz...,8.7,217653,少见的超越首部的续集，动作片中的经典。
203,阿飞正传,1990 / 中国香港 / 犯罪 剧情 爱情,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,8.5,315916,王家卫是一种风格，张国荣是一个代表。
204,香水,2006 / 德国 法国 西班牙 美国 / 剧情 犯罪 奇幻,导演: 汤姆·提克威 Tom Tykwer   主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...,8.5,381863,一个单凭体香达到高潮的男人。
205,可可西里,2004 / 中国大陆 中国香港 / 剧情 犯罪,导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,8.7,183579,坚硬的信仰。
206,牯岭街少年杀人事件,1991 / 中国台湾 / 剧情 犯罪,导演: 杨德昌 Edward Yang   主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,8.8,160879,弱者送给弱者的一刀。
207,初恋这件小事,2010 / 泰国 / 剧情 喜剧 爱情,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,8.4,678224,黑小鸭速效美白记。
208,人生果实,2017 / 日本 / 纪录片,导演: 伏原健之 Kenshi Fushihara   主演: 津端修一 Shûichi Tsubata / 津...,9.6,54858,暂无引言
209,新世界,2013 / 韩国 / 剧情 犯罪,导演: 朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,8.8,175465,要做就做得狠一点，这样才能活下去。
210,谍影重重2,2004 / 美国 德国 / 动作 悬疑 惊悚,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,8.6,231995,谁说王家卫镜头很晃？
211,谍影重重,2002 / 美国 德国 捷克 / 动作 悬疑 惊悚,导演: 道格·里曼 Doug Liman   主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,8.6,276657,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
212,战争之王,2005 / 美国 法国 / 剧情 犯罪,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...,8.6,237825,做一颗让别人需要你的棋子。
213,2001太空漫游,1968 / 英国 美国 / 科幻 惊悚 冒险,导演: 斯坦利·库布里克 Stanley Kubrick   主演: 凯尔·杜拉 Keir Dullea / ...,8.8,168910,现代科幻电影的开山之作，最伟大导演的最伟大影片。
214,爱在午夜降临前,2013 / 美国 希腊 / 剧情 爱情,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,8.8,180887,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
215,地球上的星星,2007 / 印度 / 剧情 儿童 家庭,导演: 阿米尔·汗 Aamir Khan   主演: 达席尔·萨法瑞 Darsheel Safary / 阿...,8.9,130408,天使保护事件始末。
216,浪潮,2008 / 德国 / 剧情 惊悚,导演: 丹尼斯·甘塞尔 Dennis Gansel   主演: 尤尔根·沃格尔 Jürgen Vogel ...,8.7,183082,世界离独裁只有五天。
217,青蛇,1993 / 中国香港 / 剧情 爱情 奇幻 古装,导演: 徐克 Hark Tsui   主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,8.5,322771,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
218,朗读者,2008 / 美国 德国 / 剧情 爱情,导演: 史蒂芬·戴德利 Stephen Daldry   主演: 凯特·温丝莱特 Kate Winslet ...,8.5,344870,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
219,新龙门客栈,1992 / 中国香港 中国大陆 / 动作 爱情 武侠 古装,导演: 李惠民 Raymond Lee   主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,8.6,277595,嬉笑怒骂，调风动月。
220,无耻混蛋,2009 / 德国 美国 / 剧情 犯罪,导演: Quentin Tarantino   主演: 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,8.5,314554,昆汀同学越来越变态了，比北野武还杜琪峰。
221,源代码,2011 / 美国 加拿大 / 科幻 悬疑 惊悚,导演: 邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,8.4,542973,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
222,步履不停,2008 / 日本 / 剧情 家庭,导演: 是枝裕和 Hirokazu Koreeda   主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,8.8,152824,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
223,绿里奇迹,1999 / 美国 / 犯罪 剧情 奇幻 悬疑,导演: Frank Darabont   主演: 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...,8.8,161475,天使暂时离开。
224,哈利·波特与阿兹卡班的囚徒,2004 / 英国 美国 / 剧情 奇幻 冒险,导演: Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,8.5,297278,不一样的导演，不一样的哈利·波特。
225,小萝莉的猴神大叔,2015 / 印度 / 剧情 喜剧 动作,导演: 卡比尔·汗 Kabir Khan   主演: 萨尔曼·汗 Salman Khan / 哈莎莉·马...,8.4,298186,宝莱坞的萝莉与大叔。
226,再次出发之纽约遇见你,2013 / 美国 / 喜剧 爱情 音乐,导演: 约翰·卡尼 John Carney   主演: 凯拉·奈特莉 Keira Knightley / 马克...,8.5,263121,爱我就给我看你的播放列表。
227,血钻,2006 / 美国 德国 / 剧情 惊悚 冒险,导演: 爱德华·兹威克 Edward Zwick   主演: 莱昂纳多·迪卡普里奥 Leonardo ...,8.6,214114,每个美丽事物背后都是滴血的现实。
228,追随,1998 / 英国 / 犯罪 悬疑 惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 杰里米·西奥伯德 Jeremy...,8.9,115482,诺兰的牛逼来源于内心散发出的恐惧。
229,彗星来的那一夜,2013 / 美国 英国 / 科幻 悬疑 惊悚,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   主演: 艾米丽·芭尔多尼 Em...,8.5,301645,小成本大魅力。
230,城市之光,1931 / 美国 / 喜剧 剧情 爱情,导演: Charles Chaplin   主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,9.3,71103,永远的小人物，伟大的卓别林。
231,一次别离,2011 / 伊朗 法国 / 剧情 家庭,导演: 阿斯哈·法哈蒂  Asghar Farhadi   主演: 佩曼·莫阿迪 Peyman Moadi /...,8.7,177195,只有有信仰的人才能说出事实真相。
232,疯狂的麦克斯4：狂暴之路,2015 / 澳大利亚 美国 / 动作 科幻 冒险,导演: 乔治·米勒 George Miller   主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,8.6,321282,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
233,哈利·波特与密室,2002 / 美国 英国 德国 / 奇幻 冒险,导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,8.5,315113,魔法的密室之门已打开...
234,东京物语,1953 / 日本 / 剧情 家庭,导演: 小津安二郎 Yasujirô Ozu   主演: 笠智众 Chishû Ryû / 原节...,9.2,78813,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
235,聚焦,2015 / 美国 / 剧情 传记,导演: 托马斯·麦卡锡 Thomas McCarthy   主演: 马克·鲁弗洛 Mark Ruffalo /...,8.8,183412,新闻人的理性求真。
236,撞车,2004 / 美国 德国 / 犯罪 剧情,导演: 保罗·哈吉斯 Paul Haggis   主演: 桑德拉·布洛克 Sandra Bullock / ...,8.6,229733,天使与魔鬼的冲撞。
237,遗愿清单,2007 / 美国 / 冒险 喜剧 剧情,导演: 罗伯·莱纳 Rob Reiner   主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,8.6,211788,用剩余不多的时间，去燃烧整个生命。
238,发条橙,1971 / 英国 美国 / 犯罪 剧情 科幻,导演: Stanley Kubrick   主演: Malcolm McDowell / Patrick Magee / Michael...,8.5,256269,我完全康复了。
239,梦之安魂曲,2000 / 美国 / 剧情,导演: 达伦·阿伦诺夫斯基 Darren Aronofsky   主演: 艾伦·伯斯汀 Ellen Bur...,8.7,151494,一场没有春天的噩梦。
240,小偷家族,2018 / 日本 / 剧情 犯罪 家庭,导演: 是枝裕和 Hirokazu Koreeda   主演: 中川雅也 Lily Franky / 安藤樱 Sa...,8.7,487374,暂无引言
241,色，戒,2007 / 中国台湾 中国大陆 美国 中国香港 / 剧情 爱情 情色,导演: 李安 Ang Lee   主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,8.4,397472,暂无引言
242,黑鹰坠落,2001 / 美国 / 动作 历史 战争,导演: 雷德利·斯科特 Ridley Scott   主演: 乔什·哈奈特 Josh Hartnett / ...,8.6,182690,还原真实而残酷的战争。
243,驴得水,2016 / 中国大陆 / 剧情 喜剧,导演: 周申 Shen Zhou / 刘露 Lu Liu   主演: 任素汐 Suxi Ren / 大力 Da Li ...,8.3,549128,过去的如果就让它过去了，未来只会越来越糟！
244,E.T. 外星人,1982 / 美国 / 剧情 科幻,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 亨利·托马斯 Henry Tho...,8.6,224696,生病的E.T.皮肤的颜色就像柿子饼。
245,我爱你,2011 / 韩国 / 剧情 爱情,导演: 秋昌民 Chang-min Choo   主演: 宋在河 Jae-ho Song / 李顺载 Soon-jae...,9.0,92306,你要相信，这世上真的有爱存在，不管在什么年纪 
246,大佛普拉斯,2017 / 中国台湾 / 剧情 喜剧 犯罪,导演: 黄信尧 Hsin-yao Huang   主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,8.7,211516,暂无引言
247,末路狂花,1991 / 美国 法国 / 犯罪 剧情 惊悚,导演: 雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davis / 苏...,8.7,146414,没有了退路，只好飞向自由。
248,千钧一发,1997 / 美国 / 剧情 科幻 惊悚,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 伊桑·霍克 Ethan Hawke / 乌玛...,8.7,143101,一部能引人思考的科幻励志片。
249,变脸,1997 / 美国 / 动作 科幻 犯罪 惊悚,导演: 吴宇森 John Woo   主演: 约翰·特拉沃尔塔 John Travolta / 尼古拉斯...,8.5,287285,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
250,这个男人来自地球,2007 / 美国 / 剧情 科幻,导演: 理查德·沙因克曼 Richard Schenkman   主演: 大卫·李·史密斯 David ...,8.5,257261,科幻真正的魅力不是视觉效果能取代的。 
